track_name,artist_name,release_date,danceability,energy,valence,tempo,loudness,acousticness,popularity
Foot Fungus,Ski Mask The Slump God,2018-11-30,0.8809999999999999,0.623,0.745,88.95299999999999,-9.662,0.257,76
nasty,Ariana Grande,2020-10-30,0.772,0.506,0.456,127.894,-6.558,0.0814,71
Levitating (feat. DaBaby),Dua Lipa,2020-10-01,0.7020000000000001,0.825,0.915,102.977,-3.787,0.00883,92
Culo,Lil Jon,2004-08-03,0.858,0.6559999999999999,0.969,59.972,-4.96,0.114,59
Astronaut In the Ocean,Masked Wolf,2021-02-10,0.778,0.695,0.472,149.996,-6.865,0.175,45
Another One Bites The Dust,Queen,1981-10-26,0.922,0.392,0.7709999999999999,109.878,-12.083,0.0444,55
I'm a Slave 4 U,Britney Spears,2001-10-31,0.847,0.843,0.963,110.027,-3.5789999999999997,0.415,71
Let Me Blow Ya Mind,Eve,2019-10-11,0.908,0.557,0.897,90.03200000000001,-4.243,0.242,38
Renai Circulation (English Cover) [TV Size],Lizz Robinett,2020-08-13,0.8959999999999999,0.555,0.772,120.013,-12.145,0.252,68
BANG BANG BANG,BIGBANG,2016-12-13,0.69,0.843,0.428,135.01,-2.949,0.0167,69
Officially Missing You - Midi Mafia Mix aka Radio Main,Tamia,2003-01-01,0.733,0.605,0.9,104.97,-11.012,0.0618,57
LOVE. FEAT. ZACARI.,Kendrick Lamar,2017-04-14,0.8,0.585,0.779,126.058,-7.343,0.264,79
Leave The Door Open,Bruno Mars,2021-03-05,0.586,0.616,0.7190000000000001,148.088,-7.964,0.182,96
No Idea,Don Toliver,2020-03-13,0.652,0.631,0.35,127.998,-5.718,0.524,81
What You Know Bout Love,Pop Smoke,2020-07-03,0.4539999999999999,0.563,0.561,81.918,-8.495,0.643,53
Up Down (Do This All Day) (feat. B.o.B),T-Pain,2013-08-13,0.763,0.53,0.469,97.033,-5.553999999999999,0.272,58
Single Ladies (Put a Ring on It),Beyoncé,2008-11-17,0.426,0.584,0.272,193.437,-5.292999999999999,0.0383,69
Teach Me How to Dougie,Cali Swag District,2011-07-12,0.846,0.4379999999999999,0.512,85.01299999999999,-4.981,0.2,69
oui,Jeremih,2015-12-04,0.418,0.7240000000000001,0.604,78.521,-3.724,0.213,76
Options (feat. Stephen Marley) - DJ Noodles Remix,Pitbull,2017-02-17,0.652,0.8,0.397,146.105,-4.926,0.000595,39
What’s New,Megan Thee Stallion,2020-11-20,0.934,0.873,0.721,139.997,-4.707,0.00488,77
#Twerkit,Busta Rhymes,2013-01-01,0.67,0.916,0.6559999999999999,149.405,-4.343999999999999,0.159,53
Got It All,Blxst,2020-11-20,0.605,0.583,0.534,92.713,-5.0680000000000005,0.357,62
Shhh (Pew Pew),Young Fanatic,2019-07-03,0.821,0.614,0.518,170.174,-6.956,0.106,61
my neck el pasecito challenge,Dj Jac,2020-03-27,0.794,0.753,0.68,101.977,-5.942,0.00153,44
